Folder1,Folder2,AverageDistance
60,223,2.4680829577975802
60,381,1.971349491013421
60,148,2.2814374499850802
60,391,1.9019418557484944
60,146,1.964295016394721
60,406,1.9871147208743625
60,272,2.5157637066311307
60,220,2.149746153089735
60,151,2.3794969982571073
60,296,2.814342154396905
60,42,2.263966374927097
60,246,2.784631861580743
60,217,2.217642307281494
60,8,2.357046710120307
60,116,2.5472000439961753
60,319,2.3758603201972113
60,9,1.8452616665098402
60,158,2.6024221314324274
60,102,2.1655764314863415
60,161,2.1787355740865073
60,228,1.9003977643118963
60,70,2.4323128594292536
60,138,2.6581247647603354
60,255,1.93610676129659
60,267,2.5729273425208197
60,58,2.111173073450724
506,197,2.2300558355119495
506,195,2.206706417931451
506,463,2.8197152614593506
506,226,2.4789021015167236
506,77,2.745986911985609
506,221,2.203538179397583
506,342,2.2941682868533664
506,330,2.3522976769341364
506,223,2.500142362382677
506,381,2.2848179605272083
506,148,2.473423957824707
506,391,2.3864463435278997
506,146,2.3278566201527915
506,406,2.324812200334337
506,272,2.788223240110609
506,220,2.21928432252672
506,151,2.506371842490302
506,296,2.883937120437622
506,42,2.3782651159498425
506,246,2.850154585308499
506,217,2.18787948290507
506,8,2.3532776302761502
506,116,2.9245334466298423
506,319,2.2771075301700168
506,9,2.2874500486585827
506,158,2.857402616076999
506,102,2.0978629853990345
506,161,2.5214066770341663
506,228,2.339571396509806
506,70,2.81046454111735
506,138,2.635289880964491
506,255,2.245600938796997
506,267,2.941713015238444
506,58,2.3134843508402505
432,197,1.9440523783365886
432,195,1.947380820910136
432,463,2.2241000864240856
432,226,2.3156291908688016
432,77,2.1593004597557917
432,221,2.104833470450507
432,342,2.010288529925876
432,330,1.9934015141593084
432,223,2.545275608698527
432,381,1.5527806282043457
432,148,2.20857490433587
432,391,2.1484973298178778
432,146,1.9128503269619412
432,406,1.9676978190739949
432,272,2.3590250280168323
432,220,2.1171589692433677
432,151,2.3129067685869007
432,296,2.689807097117106
432,42,2.2679941919114857
432,246,2.690007130304972
432,217,2.2222570843166776
432,8,2.0067486233181424
432,116,2.5377213690016003
432,319,2.0292037195629544
432,9,2.0795024236043296
432,158,2.5180034902360706
432,102,2.3630768987867565
432,161,1.8931726217269897
432,228,1.9848913351694744
432,70,2.2329496807522244
432,138,2.613911575741238
432,255,2.1167759895324707
432,267,2.4889855914645724
432,58,1.833945141898261
115,197,2.821342839135064
115,195,2.796533319685194
115,463,2.5407443841298423
115,226,2.9418727821773953
115,77,2.1275900734795465
115,221,2.741198592715793
115,342,2.8276420169406467
115,330,2.910029411315918
115,223,2.8155080212487116
115,381,2.6179670492808023
115,148,2.6281787289513483
115,391,2.7370503743489585
115,146,2.8219783306121826
115,406,2.8232911427815757
115,272,2.3465357886420355
115,220,2.7990260389116077
115,151,2.6904195149739585
115,296,2.1236981550852456
115,42,2.78042295244005
115,246,2.179230319129096
115,217,2.8602696789635553
115,8,2.4477283689710827
115,116,2.2204505337609186
115,319,2.7137500180138483
115,9,2.8567241032918296
115,158,2.380702257156372
115,102,2.8869509961869984
115,161,2.5320986641777887
115,228,2.8435994254218206
115,70,2.29280071788364
115,138,2.52156040403578
115,255,2.960738049613105
115,267,1.631483382648892
115,58,2.6408143838246665
27,197,3.0126066737704806
27,195,3.082448164621989
27,463,2.75991251733568
27,226,3.1138070159488254
27,77,2.615751584370931
27,221,2.675069040722317
27,342,2.9774501058790417
27,330,3.03330405553182
27,223,2.2346122529771595
27,381,2.949229187435574
27,148,2.6164718998803034
27,391,2.8136012024349637
27,146,2.880879905488756
27,406,3.0151411957210965
27,272,2.7463026311662464
27,220,2.6768364906311035
27,151,2.636790778901842
27,296,2.1483673254648843
27,42,2.6421055528852673
27,246,2.2016383277045355
27,217,2.74571254518297
27,8,2.4549949963887534
27,116,2.1334532366858587
27,319,2.779338757197062
27,9,2.9727791945139566
27,158,2.646469990412394
27,102,2.7919012705485025
27,161,2.7334196832444935
27,228,2.965920156902737
27,70,2.791061427858141
27,138,2.3868825435638428
27,255,3.006060759226481
27,267,2.1498815748426647
27,58,2.9301905632019043
130,197,2.904444138209025
130,195,2.8376481533050537
130,463,2.631256924735175
130,226,2.9306706057654486
130,77,2.291443188985189
130,221,2.831375969780816
130,342,3.0400412612491183
130,330,3.0164751741621227
130,223,2.500479327307807
130,381,2.8612567053900824
130,148,2.527554008695814
130,391,2.9181963072882757
130,146,2.985280301835802
130,406,2.935983896255493
130,272,2.34138470225864
130,220,2.7503328058454724
130,151,2.4479494094848633
130,296,1.2469414737489488
130,42,2.73142491446601
130,246,1.562011440594991
130,217,2.765753004286024
130,8,2.3309798505571155
130,116,2.4709098868899875
130,319,2.63708398077223
130,9,2.9856135050455728
130,158,2.3214049339294434
130,102,2.8173962699042425
130,161,2.555422650443183
130,228,3.0683671633402505
130,70,2.560732444127401
130,138,2.3684781657324896
130,255,3.0639637841118708
130,267,2.061835289001465
130,58,2.936353815926446
301,197,2.4043721093071833
301,195,2.3463630146450467
301,463,2.0193537208769055
301,226,2.6004000769721136
301,77,1.9036901659435697
301,221,2.6425010893079968
301,342,2.420571459664239
301,330,2.4741945531633167
301,223,2.7555431524912515
301,381,2.2047712802886963
301,148,2.1943751441107855
301,391,2.4777541955312095
301,146,2.467070129182604
301,406,2.41245608859592
301,272,1.9441703822877672
301,220,2.619710922241211
301,151,2.305421405368381
301,296,2.4444420337677
301,42,2.6419096522861056
301,246,2.37269843949212
301,217,2.6187577777438693
301,8,2.578471210267809
301,116,2.4887890815734863
301,319,2.4142101605733237
301,9,2.51518005794949
301,158,2.0646250777774386
301,102,2.805732011795044
301,161,2.0574789577060275
301,228,2.499783409966363
301,70,1.7713658412297566
301,138,2.5312276946173773
301,255,2.6025631692674427
301,267,2.1719918251037598
301,58,2.328793313768175
83,197,2.0775297615263195
83,195,2.0184692011939154
83,463,2.312587367163764
83,226,2.135629587703281
83,77,2.249825186199612
83,221,2.1195872757169933
83,342,2.0154513915379844
83,330,2.144317560725742
83,223,2.6623560322655573
83,381,1.8299451271692913
83,148,2.361188915040758
83,391,2.107871744367811
83,146,2.0537282493379383
83,406,1.7518766191270616
83,272,2.35062313079834
83,220,2.197530640496148
83,151,2.489041487375895
83,296,2.7974920537736683
83,42,2.298335658179389
83,246,2.7232458326551647
83,217,2.265933963987562
83,8,2.3393507533603244
83,116,2.527162922753228
83,319,2.345599412918091
83,9,1.9804179006152682
83,158,2.4781195322672525
83,102,2.2844102912478976
83,161,2.004106879234314
83,228,1.998720367749532
83,70,2.203961809476217
83,138,2.6602570215861
83,255,2.0846459998024836
83,267,2.491571214463976
83,58,2.0590062936147056
402,197,1.9638430145051744
402,195,1.940831396314833
402,463,2.4656434853871665
402,226,2.224538220299615
402,77,2.3634381029340954
402,221,2.0094526211420694
402,342,1.814345531993442
402,330,1.9702560371822782
402,223,2.3006074693467884
402,381,1.9063009023666382
402,148,2.1209591229756675
402,391,1.9772176212734647
402,146,1.8766385979122586
402,406,1.8704622056749132
402,272,2.501739263534546
402,220,2.026037587059869
402,151,2.1640975740220814
402,296,2.727229701148139
402,42,2.2118177149030895
402,246,2.786109553443061
402,217,2.0950198968251548
402,8,2.1734548144870334
402,116,2.60001007715861
402,319,2.169838958316379
402,9,1.6756309800677829
402,158,2.559376425213284
402,102,2.069567812813653
402,161,1.9596600664986505
402,228,1.8566591209835477
402,70,2.3490148385365806
402,138,2.5739753511216907
402,255,1.8450996213489108
402,267,2.656682915157742
402,58,1.9420340591006808
440,197,2.31160831451416
440,195,2.241797235276964
440,463,1.8645371596018474
440,226,2.522629155053033
440,77,1.7170861959457397
440,221,2.648878706826104
440,342,2.400475104649862
440,330,2.4410143428378634
440,223,2.700642400317722
440,381,2.1451922257741294
440,148,2.278216997782389
440,391,2.49755416976081
440,146,2.5067430337270102
440,406,2.433068699306912
440,272,1.7608281373977661
440,220,2.625067949295044
440,151,2.316417376200358
440,296,2.344653023613824
440,42,2.711993032031589
440,246,2.2431272665659585
440,217,2.5737231837378607
440,8,2.375799920823839
440,116,2.646315919028388
440,319,2.2798340850406222
440,9,2.523292806413439
440,158,1.9133120642768011
440,102,2.790005233552721
440,161,1.9114064110649958
440,228,2.453196260664198
440,70,1.830387830734253
440,138,2.540096335940891
440,255,2.6163553131951227
440,267,2.168325079811944
440,58,2.3418173260158963
387,197,2.642246723175049
387,195,2.630007743835449
387,463,2.8929102420806885
387,226,2.508797433641222
387,77,2.8236836327446833
387,221,2.0919317404429116
387,342,2.526165167490641
387,330,2.6316444873809814
387,223,2.3822182019551597
387,381,2.4920390711890326
387,148,2.5391490724351673
387,391,2.4399448235829673
387,146,2.452533006668091
387,406,2.449380874633789
387,272,2.913151820500692
387,220,2.147919919755724
387,151,2.4306443532307944
387,296,2.6343822479248047
387,42,2.2215746773613825
387,246,2.682843870586819
387,217,2.314097934299045
387,8,2.3584884537590876
387,116,2.6584109200371637
387,319,2.559451421101888
387,9,2.366263469060262
387,158,2.96563548511929
387,102,2.0028423335817127
387,161,2.618341498904758
387,228,2.5168031056722007
387,70,2.879984723197089
387,138,2.6315667894151478
387,255,2.3264474868774414
387,267,2.824400160047743
387,58,2.636699491076999
371,197,2.0162149005466037
371,195,2.030011865827772
371,463,2.289402034547594
371,226,2.334061861038208
371,77,2.3296082284715443
371,221,2.219317462709215
371,342,1.8842911587821112
371,330,1.9023517105314467
371,223,2.6198555363549128
371,381,1.8390417761272855
371,148,2.4066362380981445
371,391,2.125836147202386
